"country","date","people_fully_vaccinated","people_vaccinated","people_fully_vaccinated","daily_vaccinations","population","continent","cumsum_total_vaccination","people_fully_vaccinated_per_million","people_vaccinated_per_million","daily_vaccinated_per_million"
"Slovakia",2021-01-30,9368,139566,9368,6616,5461564,"Europe",444041.515151515,1715.25958498335,25554.2185352035,1211.37461723418
"Slovakia",2021-01-31,9536,139679,9536,6657,5461564,"Europe",450698.515151515,1746.02000452618,25574.9085793007,1218.88162438452
"Slovakia",2021-02-01,12445,148530,12445,7056,5461564,"Europe",457754.515151515,2278.65131672905,27195.5066350957,1291.93762079873
"Slovakia",2021-02-02,15890,157342,15890,7775,5461564,"Europe",465529.515151515,2909.42301509238,28808.9638792112,1423.58489253262
"Slovakia",2021-02-03,18220,166717,18220,8438,5461564,"Europe",473967.515151515,3336.04073851373,30525.5051483421,1544.97869108556
"Slovakia",2021-02-04,23771,175587,23771,9088,5461564,"Europe",483055.515151515,4352.41626757464,32149.5820611092,1663.99221907864
"Slovakia",2021-02-05,30436,183967,30436,9552,5461564,"Europe",492607.515151515,5572.76267384214,33683.9410835431,1748.94956829216
"Slovakia",2021-02-06,31132,186055,31132,9750,5461564,"Europe",502357.515151515,5700.19869766243,34066.249155004,1785.20291989621
"Slovakia",2021-02-07,31132,186235,31132,9736,5461564,"Europe",512093.515151515,5700.19869766243,34099.2067473713,1782.63955160097
"Slovakia",2021-02-08,35018,193631,35018,9668,5461564,"Europe",521761.515151515,6411.71649732567,35453.3975981972,1770.18890559554
"Slovakia",2021-02-09,42558,200950,42558,10039,5461564,"Europe",531800.515151515,7792.27342204541,36793.4899233992,1838.11816541928
"Slovakia",2021-02-10,49064,207505,49064,10233,5461564,"Europe",542033.515151515,8983.50728838845,37993.6955787756,1873.63912608183
"Slovakia",2021-02-11,55665,214694,55665,10143,5461564,"Europe",552176.515151515,10192.135439592,39309.9851983791,1857.16032989818
"Slovakia",2021-02-12,62058,222389,62058,10006,5461564,"Europe",562182.515151515,11362.6792618378,40718.9222720818,1832.07594015194
"Slovakia",2021-02-13,62477,226279,62477,10224,5461564,"Europe",572406.515151515,11439.3972129595,41431.1724626865,1871.99124646347
"Slovakia",2021-02-14,62682,236882,62682,11742,5461564,"Europe",584148.515151515,11476.9322487112,43372.5577508567,2149.93360876115
"Slovakia",2021-02-15,69479,243608,69479,12063,5461564,"Europe",596211.515151515,12721.447556048,44604.073118982,2208.7079818162
"Slovakia",2021-02-16,75827,248592,75827,11559,5461564,"Europe",607770.515151515,13883.751980202,45516.6322320859,2116.42672318772
"Slovakia",2021-02-17,81885,254152,81885,11353,5461564,"Europe",619123.515151515,14992.9580610975,46534.6556407652,2078.70858970068
"Slovakia",2021-02-18,88482,258746,88482,10981,5461564,"Europe",630104.515151515,16200.8538213596,47375.8066370732,2010.59623214156
"Slovakia",2021-02-19,95326,265079,95326,10851,5461564,"Europe",640955.515151515,17453.974722259,48535.3645951965,1986.79352654295
